datetime,humidity,pressure,temperature,wind_direction,wind_speed,label
2015-06-28 23:00:00,60,1007,294.48,260,3,rain
2015-06-22 21:00:00,47,1024,301.3,297,2,clear
2015-06-23 00:00:00,48,1024,299.894,309,1,clear
2015-06-19 20:00:00,88,1023,295.71,332,2,rain
2015-06-20 21:00:00,97,1027,292.926,131,2,rain
2015-06-20 16:00:00,90,1029,292.994,104,3,rain
2015-06-19 03:00:00,96,1023,291.599,140,2,rain
2015-06-10 04:00:00,77,1009,292.81,275,3,clear
2015-06-08 20:00:00,57,1011,298.79,160,5,clear
2015-06-29 07:00:00,72,1008,291.16,270,2,clear
2015-06-23 21:00:00,65,1016,301.023,267,5,rain
2015-06-19 09:00:00,97,1020,292.763,249,2,clear
2015-06-18 23:00:00,89,1024,291.782,145,3,rain
2015-06-26 04:00:00,64,1016,294.45,250,1,rain
2015-06-28 21:00:00,64,1005,294.56,260,3,rain
2015-06-14 18:00:00,42,1026,301.029,215,1,clear
2015-06-11 20:00:00,45,1020,302.89,253,4,rain
2015-06-30 02:00:00,60,1015,293.3,190,1,clear
2015-06-22 11:00:00,96,1023,294.11,295,3,clear
2015-06-22 16:00:00,66,1025,298.069,304,3,clear
2015-06-22 06:00:00,96,1020,294.064,292,2,rain
2015-06-18 00:00:00,68,1020,293.85,150,3,rain
2015-06-30 22:00:00,61,1011,298.06,150,5,rain
2015-06-25 01:00:00,49,1025,298.86,312,4,clear
2015-06-17 09:00:00,87,1018,292.03,345,3,clear
2015-06-21 06:00:00,97,1024,293.647,152,3,rain
2015-06-03 10:00:00,81,1022,284.32,30,1,rain
2015-06-07 01:00:00,45,1026,293.393,356,4,clear
2015-06-08 23:00:00,57,1010,296.97,190,4,rain
2015-06-23 22:00:00,65,1016,301.023,267,5,rain
2015-06-04 02:00:00,94,1034,285.521,136,2,clear
2015-06-17 05:00:00,60,1014,294.03,320,5,rain
2015-06-18 01:00:00,73,1020,293.24,130,2,rain
2015-06-28 22:00:00,56,1006,294.53,260,3,rain
2015-06-23 01:00:00,48,1024,299.894,309,1,clear
2015-06-04 00:00:00,70,1032,289.661,143,2,clear
2015-06-25 08:00:00,76,1027,291.093,312,1,clear
2015-06-08 00:00:00,61,1030,291.098,171,4,clear
2015-06-03 02:00:00,93,1021,285.05,60,1,rain
2015-06-13 01:00:00,59,1021,299.693,185,3,clear
2015-06-20 22:00:00,97,1027,292.926,131,2,rain
2015-06-24 19:00:00,56,1025,299.332,285,2,clear
2015-06-12 04:00:00,84,1023,294.336,190,1,clear
2015-06-20 11:00:00,90,1030,292.231,88,2,rain
2015-06-17 23:00:00,64,1020,294.55,160,4,clear
2015-06-20 04:00:00,84,1026,293.303,353,2,clear
2015-06-10 15:00:00,50,1013,296.78,270,1,clear
2015-06-26 22:00:00,64,1016,298.25,80,5,clear
2015-06-20 13:00:00,90,1030,292.231,88,2,rain
2015-06-19 01:00:00,89,1024,291.782,145,3,rain
2015-06-24 07:00:00,89,1021,292.986,323,3,clear
2015-06-14 09:00:00,89,1026,290.55,221,1,clear
2015-06-22 14:00:00,92,1024,296.114,297,3,clear
2015-06-29 00:00:00,69,1007,294.12,270,3,rain
2015-06-06 23:00:00,45,1026,293.393,356,4,clear
2015-06-20 23:00:00,97,1026,293.669,147,2,rain
2015-06-09 10:00:00,88,1006,292.35,160,2,rain
2015-06-22 05:00:00,96,1020,294.064,292,2,rain
2015-06-15 14:00:00,94,1014,295.6,233,3,rain
2015-06-11 13:00:00,58,1022,296.444,226,3,clear
